expression,reading,meaning,tags
私,わたし,"I, myself",
余り,あまり,not very; surplus,
いいえ,いいえ,"no, not at all",
ええ,ええ,yes,
大勢,おおぜい,great number of people,
お～,お～,honorable ~ (honorific),
方,かた,-- honorific form for 人 (ひと) --; way of doing,
結構,けっこう,"splendid; enough, tolerably",
こんにちは,こんにちは,Good afternoon,
午後,ごご,"afternoon, P.M.",
すみません,すみません,Excuse me; Im sorry,
どうぞ,どうぞ,"please, kindly, by all means",
はい,はい,yes,
昼,ひる,"noon, daytime",
もしもし,もしもし,Hello? (used on the phone),
ノート,ノート,notebook,
～円,～えん,Yen,
～か月,～かげつ,(number of) months,
～がる,～がる,feel,
～側,～がわ,~ side,
～語,～ご,"word, language",
～歳,～さい,~ years old,
～さん,～さん,"Mr. ~, Ms. ~",
～週間,～しゅうかん,~ weeks,
～時間,～じかん,~ hours,
～中,～じゅう,"during, while",
～たち,～たち,plural suffix,
～だけ,～だけ,"only ~, just ~, as ~",
～など,～など,et cetera,
～年,～ねん,~ years,
～番,～ばん,~st; ~th best,
～分,～ふん,~ minutes,
零,れい,"zero, nought",
一,いち,one,
二,に,two,
三,さん,three,
四,し,four,
五,ご,five,
六,ろく,six,
七,しち,seven,
八,はち,eight,
九,きゅう,nine,
十,じゅう,ten,
百,ひゃく,hundred,
～階,～かい,counter for stories (floors) of a building,
～個,～こ,"counter for small items (e.g., fruits, cups)",
～冊,～さつ,counter for books,
～人,～じん,counter for people,
～台,～だい,counter for vehicles; machines,
～度,～ど,counter for occurrences; ~ degree; ~ point,
～杯,～はい,counter for cupfuls,
～匹,～ひき,counter for small animals,
～本,～ほん,counter for long cylindrical things,
～枚,～まい,counter for flat things,
千,せん,thousand,
万,まん,ten thousand,
半,はん,"half (e.g., にじはん | half-past two)",
～回,～かい,counter for occurrences (~ times),
朝,あさ,morning,
明後日,あさって,day after tomorrow,
明日,あした,tomorrow,
いただきます,いただきます,Thank you for the meal (before eating),
一日,いちにち,one day (duration),
五日,いつか,five days; fifth day of the month,
いつも,いつも,"always, usually, every time, never (with neg. verb)",
今,いま,now,
一昨日,おととい,the day before yesterday,
おととし,おととし,year before last,
おはよう,おはよう,Good morning,
おはようございます,おはようございます,Good morning (polite),
かかる,かかる,"it takes (amount of time, money) (v.i.)",
火曜日,かようび,Tuesday,
昨日,きのう,yesterday,
今日,きょう,"today, this day",
去年,きょねん,last year,
金曜日,きんようび,Friday,
今朝,けさ,this morning,
月曜日,げつようび,Monday,
九日,ここのか,nine days; ninth day of the month,
今年,ことし,this year,
今月,こんげつ,this month,
今週,こんしゅう,this week,
今晩,こんばん,"tonight, this evening",
こんばんは,こんばんは,Good evening,
午前,ごぜん,"morning, A.M.",
ごちそうさまでした,ごちそうさまでした,Thank you for the meal (after eating),
さあ,さあ,"come now, well",
さ来年,さらいねん,year after next,
時間,じかん,time,
水曜日,すいようび,Wednesday,
先月,せんげつ,last month,
先週,せんしゅう,last week,
それから,それから,"and then, after that",
十日,とおか,ten days; tenth day of the month,
時々,ときどき,sometimes,
年,とし,"year, age",
土曜日,どようび,Saturday,
七日,なのか,seven days; seventh day (of the month),
日曜日,にちようび,Sunday,
初めて,はじめて,for the first time,
二十日,はつか,"twenty days, twentieth (day of the month)",
晩,ばん,evening,
晩御飯,ばんごはん,"dinner, evening meal",
一月,ひとつき,one month,
暇,ひま,"free time, leisure",
二日,ふつか,two days; second day of the month,
毎朝,まいあさ,every morning,
毎月,まいげつ; まいつき,"every month, monthly",
毎週,まいしゅう,every week,
毎日,まいにち,every day,
毎年,まいねん; まいとし,"every year, yearly, annually",
毎晩,まいばん,every night,
前,まえ,"before, in front",
三日,みっか,"three days, third day of the month",
六日,むいか,six days; sixth day of month,
木曜日,もくようび,Thursday,
休み,やすみ,holiday; day off; absence,
夕方,ゆうがた,"late afternoon (typically just before dinner time), evening",
夕飯,ゆうはん,"dinner, supper, evening meal",
昨夜,ゆうべ,last night,
八日,ようか,eight days; eighth day of the month,
よく,よく,"frequently, often (much); well, skillfully",
四日,よっか,four days; fourth day of the month,
夜,よる,"evening, night",
来月,らいげつ,next month,
来週,らいしゅう,next week,
来年,らいねん,next year,
～月,～がつ,month of year,
～ころ; ～ごろ,～ころ; ～ごろ,"about, toward, approximately (time)",
～時,～じ,~ o'clock (time),
～ずつ,～ずつ,at a time,
～日,～にち,"~ day of the month, for ~ days",
あなた,あなた,you,
兄,あに,(my) older brother (humble),
姉,あね,(my) older sister (humble),
ありがとう,ありがとう,Thank you,
ありがとうございます,ありがとうございます,Thank you (polite),
いかが,いかが,"how, in what way",
医者,いしゃ,doctor; physician,
妹,いもうと,younger sister (humble),
お母さん,おかあさん,mother (formal),
おじいさん,おじいさん,"grandfather, male senior citizen",
伯父; 叔父さん,おじさん,"uncle, middle-aged man",
お父さん,おとうさん,father (formal),
弟,おとうと,younger brother,
男,おとこ,"man, male",
男の子,おとこのこ,boy,
同じ,おなじ,"same, identical",
お兄さん,おにいさん,(someone else's) older brother (formal),
お姉さん,おねえさん,older sister (formal),
おばあさん,おばあさん,"grandmother, female senior-citizen",
伯母さん; 叔母さん,おばさん,aunt,
女,おんな,"woman, female",
女の子,おんなのこ,girl,
家族,かぞく,"family, members of a family",
家庭,かてい,home; family,
学生,がくせい,student,
こちら,こちら,this person (polite); this way (polite),
こっち,こっち,this person; this direction; this side,
子供,こども,child(ren),
質問,しつもん,"question, inquiry",
生徒,せいと,student; pupil,
先生,せんせい,"teacher, professor; master; doctor",
誰,だれ,who,
父,ちち,(my) father,
友達,ともだち,friend,
どう,どう,"how, in what way",
どういたしまして,どういたしまして,you're welcome,
どうも,どうも,Thank you; somehow; no matter how hard one may try,
どなた,どなた,who,
はじめまして,はじめまして,How do you do?,
母,はは,(my) mother,
人,ひと,"man, person",
一人,ひとり,one person,
皆さん,みなさん,"all of you, everyone",
留学生,りゅうがくせい,international student,
両親,りょうしん,"parents (lit., both parents)",
足; 脚,あし,foot; leg,
頭,あたま,head,
いってきます,いってきます,Ill go and come back,
後ろ,うしろ,"back, behind, rear",
お腹,おなか,stomach,
顔,かお,face (body part),
体,からだ,body; health,
口,くち,job opening; mouth,
声,こえ,voice,
手,て,hand,
歯,は,tooth,
鼻,はな,nose,
左,ひだり,left hand side,
右,みぎ,right hand side,
耳,みみ,ear,
目,め,eye(s),
眼鏡,めがね,eye glasses,
上着,うわぎ,"coat, jacket",
傘,かさ,"umbrella, parasol",
かばん,かばん,"bag, basket",
靴,くつ,"shoes, footwear",
靴下,くつした,socks,
服,ふく,clothes,
帽子,ぼうし,hat; cap,
洋服,ようふく,Western-style clothes,
コート,コート,"coat; court (e.g., tennis)",
シャツ,シャツ,shirt,
スカート,スカート,skirt,
ワイシャツ,ワイシャツ,"shirt (lit: white shirt), business shirt",
朝御飯,あさごはん,breakfast,
飴,あめ,(hard) candy,
お酒,おさけ,sake; alcohol,
お茶,おちゃ,(green) tea,
お弁当,おべんとう,a boxed lunch,
牛肉,ぎゅうにく,beef,
果物,くだもの,fruit,
紅茶,こうちゃ,black tea,
御飯,ごはん,rice (cooked); meal,
砂糖,さとう,sugar,
塩,しお,salt,
茶碗,ちゃわん,rice bowl,
鶏肉,とりにく,chicken meat,
肉,にく,meat,
飲み物,のみもの,"drink, beverage",
昼御飯,ひるごはん,"lunch, midday meal",
豚肉,ぶたにく,pork,
野菜,やさい,vegetable,
